bottleneck_id,cpu_name,gpu_name,balance,wqhd,four_k,game_appropriate,game_delivery,video_editing,encode,created_at,updated_at
1,Core i9 11900K,RTX 3090,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
2,Core i9 11900,RTX 3090,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
3,Core i9 10900K,RTX 3090,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
4,Core i9 10900,RTX 3090,3,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
5,Core i7 11700K,RTX 3090,3,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
6,Core i7 11700,RTX 3090,2,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
7,Core i7 10700K,RTX 3090,3,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
8,Core i7 10700,RTX 3090,2,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
9,Core i5 11400,RTX 3090,1,4,3,0,3,4,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
10,Core i5 10400,RTX 3090,1,4,2,0,2,2,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
11,Ryzen 9 5900X,RTX 3090,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
12,Ryzen 9 5950X,RTX 3090,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
13,Ryzen 7 5800X,RTX 3090,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
14,Ryzen 7 3700X,RTX 3090,2,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
15,Ryzen 5 5600X,RTX 3090,2,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
16,Ryzen 5 3600,RTX 3090,1,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
17,Ryzen 5 3500X,RTX 3090,1,4,2,0,3,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
18,Ryzen 5 3500,RTX 3090,1,4,2,0,2,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
19,Core i9 11900K,RX 6900 XT,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
20,Core i9 11900,RX 6900 XT,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
21,Core i9 10900K,RX 6900 XT,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
22,Core i9 10900,RX 6900 XT,3,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
23,Core i7 11700K,RX 6900 XT,3,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
24,Core i7 11700,RX 6900 XT,2,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
25,Core i7 10700K,RX 6900 XT,3,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
26,Core i7 10700,RX 6900 XT,2,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
27,Core i5 11400,RX 6900 XT,1,4,3,0,3,4,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
28,Core i5 10400,RX 6900 XT,1,4,2,0,2,2,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
29,Ryzen 9 5900X,RX 6900 XT,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
30,Ryzen 9 5950X,RX 6900 XT,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
31,Ryzen 7 5800X,RX 6900 XT,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
32,Ryzen 7 3700X,RX 6900 XT,2,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
33,Ryzen 5 5600X,RX 6900 XT,2,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
34,Ryzen 5 3600,RX 6900 XT,1,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
35,Ryzen 5 3500X,RX 6900 XT,1,4,2,0,3,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
36,Ryzen 5 3500,RX 6900 XT,1,4,2,0,2,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
37,Core i9 11900K,RTX 3080,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
38,Core i9 11900,RTX 3080,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
39,Core i9 10900K,RTX 3080,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
40,Core i9 10900,RTX 3080,3,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
41,Core i7 11700K,RTX 3080,3,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
42,Core i7 11700,RTX 3080,2,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
43,Core i7 10700K,RTX 3080,3,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
44,Core i7 10700,RTX 3080,2,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
45,Core i5 11400,RTX 3080,2,4,3,0,3,4,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
