item_code,model_number,category,manufacturer_name,item_status,purchase_price,item_image,remarks,created_at,updated_at,store_id
3939939,DKG54656,4,クェーカー,1,2222,"",kiriei,2022-01-19 12:12:24.996403+09,2022-01-19 12:13:25.201866+09,4
10010101,na,1,メーカー名,0,10,"",リロード試し,2022-01-19 12:01:05.017529+09,2022-01-19 12:01:05.017867+09,1
541234159,X3 Carbon,2,Lenovo3,0,37000,,きたない,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09,1
541234160,X4 Carbon,3,Lenovo4,0,38000,,かわいい,2021-11-13 12:14:00+09,2021-11-13 12:14:00+09,1
541234161,X5 Carbon,4,Lenovo5,0,39000,,ごみ,2021-11-14 12:14:00+09,2021-11-14 12:14:00+09,1
123456789,asdfghjkl,5,aaabb,0,101010,x1280_eaMsLwR.jpg,sdasad,2021-12-02 11:50:26.323681+09,2021-12-02 11:50:26.323681+09,1
123456745,X6 Carbon,5,101010,0,101010,,as,2021-12-02 12:17:10.262278+09,2021-12-02 12:17:10.273812+09,1
541234158,X2 Carbon,1,Lenovo2,0,36000,,きれい,2021-11-11 12:14:00+09,2021-12-02 15:26:58.503181+09,1
41234157,X1 Carbon,0,Lenovo1,0,35000,x1280.jpg,傷あり,2021-11-10 12:14:00+09,2022-01-19 11:30:00.582296+09,1
232114000,X4 Carbon,1,Lenovo1,0,23,"","",2022-01-19 11:31:13.556574+09,2022-01-19 11:41:45.477285+09,1
2321148,X4 Carbon,1,Lenovo1,0,23,"","",2022-01-19 11:30:57.439315+09,2022-01-19 11:43:28.191759+09,1
000000000,X4 Carbon,2,Lenovo1,0,76,"","",2022-01-19 11:31:53.573801+09,2022-01-19 11:45:52.525797+09,1
000000001,X4 Carbon,2,Lenovo1,0,76,"","",2022-01-19 11:32:09.481777+09,2022-01-19 11:46:26.758143+09,1
10010108,na,1,メーカー名,0,10,"",リロード試し,2022-01-19 12:07:20.120657+09,2022-01-19 12:07:20.123648+09,1
