item_code,model_number,category,manufacturer_name,item_status,purchase_price,item_image,remarks,created_at,updated_at,store_id
116240001,ThinkPad X1 Carbon 6gn,0,Lenovo,0,25000,ThinkPadX1Carbon6gn_kpIi8mz.png,,2022/1/19,2022/1/20,116
116240002,Let'sNote SZ6,0,Panasonic,0,17836,LetsNote_SZ6.jpg,,2022/1/19,2022/1/20,116
131240002,ThinkPad X61,0,IBM,1,0,ThinkPad_X61.jpg,,2022/1/19,2022/1/20,131
131240003,Let'sNote NX3,0,Panasonic,1,8534,LetsNote_NX3.jpg,,2022/1/19,2022/1/20,131
116240003,Let'sNote NX3,0,Panasonic,3,8534,LetsNote_NX3_jxzaOOU.jpg,,2022/1/19,2022/1/20,116
131240004,VJS131D12N,0,VAIO,0,13604,VJS131D12N.jpg,,2022/1/19,2022/1/20,131
131240005,Latitude 5580,0,DELL,3,16325,Latitude_5580.png,,2022/1/19,2022/1/20,131
116240004,VJS131D12N,0,VAIO,0,13605,VJS131D12N_pf0hCS6.jpg,,2022/1/19,2022/1/20,116
116240005,Latitude 5580,0,DELL,1,16326,Latitude_5580_73YzjuW.png,,2022/1/19,2022/1/20,116
116240007,FlexScan EV2451,2,EIZO,0,11750,FlexScan_EV2451_KSGLqkO.png,,2022/1/19,2022/1/20,116
117240002,Let'sNote SZ6,0,Panasonic,1,17837,LetsNote_SZ6_lkOPyhg.jpg,,2022/1/19,2022/1/20,117
117240004,ideapad 310S-11IAP,0,Lenovo,1,0,ideapad_310S-11IAP.jpg,,2022/1/19,2022/1/20,117
117240003,Let'sNote MX4,0,Panasonic,1,9200,LetsNote_MX4.png,,2022/1/19,2022/1/20,117
117240005,Latitude 5580,0,DELL,1,16327,Latitude_5580_236MFzC.png,,2022/1/19,2022/1/20,117
118240002,Let'sNote SZ6,0,Panasonic,1,15600,LetsNote_SZ6_IsuAy43.jpg,,2022/1/19,2022/1/20,118
117240007,Z24n,2,hp,0,3240,Z24n.png,,2022/1/19,2022/1/20,117
118240004,ProBook 470 G5,0,hp,0,49000,ProBook_470_G5.jpg,,2022/1/19,2022/1/20,118
118240001,ThinkPad X270,0,Lenovo,3,12000,ThinkPad_X270.png,,2022/1/19,2022/1/20,118
119240002,Let'sNote SZ6,0,Panasonic,0,13240,LetsNote_SZ6_ebCv4mm.jpg,,2022/1/19,2022/1/20,119
118240003,LIFEBOOK U939,0,FUJITSU,2,56900,LIFEBOOK_U939.png,,2022/1/19,2022/1/20,118
119240004,ProBook 470 G5,0,hp,2,49000,ProBook_470_G5_ObmngCC.jpg,,2022/1/19,2022/1/20,119
118240005,Endeavor NJ5900E,0,EPSON,2,13450,Endeavor_NJ5900E.png,,2022/1/19,2022/1/20,118
118240007,Z24n,2,hp,2,3240,Z24n_hPOcNd8.png,,2022/1/19,2022/1/20,118
125240002,Let'sNote SZ5,0,Panasonic,4,14500,LetsNote_SZ5.jpg,,2022/1/19,2022/1/20,125
125240004,ProBook 470 G5,0,hp,0,49000,ProBook_470_G5_9PWYYg8.jpg,,2022/1/19,2022/1/20,125
119240001,ThinkPad X270,0,Lenovo,2,12000,ThinkPad_X270_XQrkdZ5.png,,2022/1/19,2022/1/20,119
119240003,LIFEBOOK U938,0,FUJITSU,3,35800,LIFEBOOK_U938.png,,2022/1/19,2022/1/20,119
126240004,ProBook 470 G5,0,hp,1,49000,ProBook_470_G5_39R4Lvs.jpg,,2022/1/19,2022/1/20,126
119240005,Surface Pro4,0,Microsoft,1,27890,Surface_Pro4.png,,2022/1/19,2022/1/20,119
119240007,Z24n,2,hp,0,3240,Z24n_rFCrAOn.png,,2022/1/19,2022/1/20,119
125240001,ThinkPad X270,0,Lenovo,1,12000,ThinkPad_X270_P7CngDj.png,,2022/1/19,2022/1/20,125
125240006,閾�E�菴・,1,荳肴・,2,20000,zisakupc1.jpg,,2022/1/19,2022/1/20,125
125240005,Surface Pro4,0,Microsoft,3,27890,Surface_Pro4_5oj19k3.png,,2022/1/19,2022/1/20,125
125240007,Z24n,2,hp,4,3240,Z24n_2kXGbgR.png,,2022/1/19,2022/1/20,125
126240006,閾�E�菴・,1,荳肴・,1,160000,zisakups2.jpg,,2022/1/19,2022/1/20,126
126240001,ThinkPad X270,0,Lenovo,2,12000,ThinkPad_X270_2AiZBMG.png,,2022/1/19,2022/1/20,126
127240003,LIFEBOOK U938,0,FUJITSU,3,35803,,,2022/1/19,2022/1/20,127
126240005,MacBook Air Early 2015,0,Apple,4,37800,MacBook_Air_Early_2015.png,,2022/1/19,2022/1/20,126
127240002,Let'sNote SZ5,0,Panasonic,0,14500,LetsNote_SZ5_xGIPPhw.jpg,,2022/1/19,2022/1/20,127
126240007,Z24n,2,hp,0,2890,Z24n_2GsDGom.png,,2022/1/19,2022/1/20,126
127240004,ProBook 470 G5,0,hp,1,49000,ProBook_470_G5_8RxsXCq.jpg,,2022/1/19,2022/1/20,127
127240005,MacBook Air Early 2015,0,Apple,2,37801,MacBook_Air_Early_2015_YY6qmEJ.png,,2022/1/19,2022/1/20,127
127240007,Z24n,2,hp,4,2890,Z24n_xmzc3Xc.png,,2022/1/19,2022/1/20,127
127240006,TIC PC-I,1,TIC,0,350000,TIC_PC-I.jpg,,2022/1/19,2022/1/20,127
128240001,ThinkPad X270,0,Lenovo,2,12000,ThinkPad_X270_3zdF170.png,,2022/1/19,2022/1/20,128
128240002,Let'sNote SZ5,0,Panasonic,3,9800,LetsNote_SZ5_hFgZUfQ.jpg,,2022/1/19,2022/1/20,128
128240005,MacBook Air Early 2015,0,Apple,1,37802,MacBook_Air_Early_2015_OTvnMkB.png,,2022/1/19,2022/1/20,128
128240004,dynabook R63/Y,0,TOSHIBA,0,12300,dynabook_R63Y.jpg,,2022/1/19,2022/1/20,128
128240007,Z24n,2,hp,0,2890,Z24n_yErblbO.png,,2022/1/19,2022/1/20,128
128240006,TIC PC-A,1,TIC,2,350000,TIC_PC-A.jpg,,2022/1/19,2022/1/20,128
129240003,VJS131D12N,0,VAIO,3,13600,VJS131D12N.png,,2022/1/19,2022/1/20,129
129240005,MacBook Pro Mid 2015,0,Apple,1,50000,MacBook_Air_Early_2015_HrTKyFl.png,,2022/1/19,2022/1/20,129
129240002,Let'sNote SZ5,0,Panasonic,2,9800,LetsNote_SZ5_sQ4Aztl.jpg,,2022/1/19,2022/1/20,129
131740004,dynabook R63/Y,0,TOSHIBA,3,17800,dynabook_R63Y_Vuq1iiO.jpg,,2022/1/19,2022/1/20,130
131740002,Let'sNote SZ5,0,Panasonic,0,9800,LetsNote_SZ5_mrr1iIo.jpg,,2022/1/19,2022/1/20,130
129240006,ColorEdge CG277,2,EIZO,1,12000,ColorEdge_CG277.png,,2022/1/19,2022/1/20,129
129240007,ThinkVision T24i,2,Lenovo,2,2300,ThinkVision_T24i.png,,2022/1/19,2022/1/20,129
131740001,ThinkPad X270,0,Lenovo,3,12000,ThinkPad_X270_nZoLJSn.png,,2022/1/19,2022/1/20,130
131740003,VJS131D12N,0,VAIO,1,13601,VJS131D12N_ao7htxb.png,,2022/1/19,2022/1/20,130
131740006,ColorEdge CG278,2,EIZO,2,12000,ColorEdge_CG278.jpg,,2022/1/19,2022/1/20,130
131740005,MacBook Pro M1,0,Apple,1,99800,MacBook_Pro_M1.png,,2022/1/19,2022/1/20,130
131240004,Inspiron17 5759,0,DELL,2,24000,Inspiron17_5759.jpg,,2022/1/19,2022/1/20,131
131240001,ThinkPad X270,0,Lenovo,3,12000,ThinkPad_X270_KqWD6CJ.png,,2022/1/19,2022/1/20,131
131240003,VJS131D12N,0,VAIO,2,13602,VJS131D12N_tIlQ79b.png,,2022/1/19,2022/1/20,131
131240005,OMEN 15-cd016TX,1,hp,3,89600,OMEN_15-cd016TX.png,,2022/1/19,2022/1/20,131
131240006,ColorEdge CG279,2,EIZO,2,12000,ColorEdge_CG279_1.jpg,,2022/1/19,2022/1/20,131
131240007,P2317H,2,hp,3,131,P2317H.png,,2022/1/19,2022/1/20,131
132240003,VJS131D12N,0,VAIO,1,13603,VJS131D12N_5CYG0zb.png,,2022/1/19,2022/1/20,132
132240002,Let'sNote SZ5,0,Panasonic,1,9800,LetsNote_SZ5_zboV9W0.jpg,,2022/1/19,2022/1/20,132
132240005,OptiPlex 5040 SFF,1,DELL,1,24800,OptiPlex_5040_SFF.png,,2022/1/19,2022/1/20,132
132240004,Inspiron17 5759,0,DELL,0,24000,Inspiron17_5759_D8rY4T3.jpg,,2022/1/19,2022/1/20,132
117240001,ThinkPad X1 Carbon 6gn,0,Lenovo,0,25000,ThinkPadX1Carbon6gn_8wloRId.png,,2022/1/19,2022/1/20,117
131240006,Optiplex 3040 Micro,1,DELL,1,12579,Optiplex_3040_Micro.jpg,,2022/1/19,2022/1/20,131
131240007,FlexScan EV2451,2,EIZO,0,12500,FlexScan_EV2451.png,,2022/1/19,2022/1/20,131
131240008,P2317H,2,hp,0,131,P2317H.jpg,,2022/1/19,2022/1/20,131
131240009,8GB,3,-,0,3000,8G_繝｡繝｢繝ｪ.png,,2022/1/19,2022/1/20,131
131240010,129GB,5,-,0,0,ssd_kari129gb.png,,2022/1/19,2022/1/20,131
116240006,Optiplex 3040 Micro,1,DELL,4,12579,Optiplex_3040_Micro_tYKB3Ya.jpg,,2022/1/19,2022/1/20,116
116240008,323E7Q,2,PHILIPS,1,4000,323E7Q.jpg,,2022/1/19,2022/1/20,116
131240011,1TB,5,-,0,12000,1TB_SSD.png,,2022/1/19,2022/1/20,131
131240012,2019 Home & Business,6,Microsoft,1,25000,2019_Home__Business.jpg,,2022/1/19,2022/1/20,131
131240013,WPS Office 2,6,KINGSOFT,1,216,WPS_Office_2.png,,2022/1/19,2022/1/20,131
116240010,130GB,5,-,0,0,ssd_kari130gb.jpg,,2022/1/19,2022/1/20,116
116240012,2021 Personal,6,Microsoft,0,26000,2021_Personal.jpg,,2022/1/19,2022/1/20,116
116240009,8GB,3,-,1,3000,8G_繝｡繝｢繝ｪ_lp0qjcc.png,,2022/1/19,2022/1/20,116
116240011,2010 Personal,6,Microsoft,1,8000,2010_Personal.png,,2022/1/19,2022/1/20,116
116240013,WPS Office 2,6,KINGSOFT,1,216,WPS_Office_2_Uc7AXYj.png,,2022/1/19,2022/1/20,116
117240006,Optiplex 3040 Micro,1,DELL,1,12579,Optiplex_3040_Micro_wv1JPep.jpg,,2022/1/19,2022/1/20,117
117240008,323E7Q,2,PHILIPS,0,4001,323E7Q_BHwHIyD.jpg,,2022/1/19,2022/1/20,117
117240010,256GB,5,-,0,3000,ssd_kari256gb.jpg,,2022/1/19,2022/1/20,117
117240012,2021 Personal,6,Microsoft,4,26000,2021_Personal_zB5DhBI.jpg,,2022/1/19,2022/1/20,117
117240009,8GB,3,-,0,3000,8G_繝｡繝｢繝ｪ_vw9ahWN.png,,2022/1/19,2022/1/20,117
117240011,2010 Personal,6,Microsoft,2,8000,2010_Personal_UTwoIha.png,,2022/1/19,2022/1/20,117
118240006,Optiplex 3040 Micro,1,DELL,3,12579,Optiplex_3040_Micro_wDs5VM0.jpg,,2022/1/19,2022/1/20,118
118240010,256GB,5,-,0,3000,ssd_kari256gb_KlRug3w.jpg,,2022/1/19,2022/1/20,118
118240008,323E7Q,2,PHILIPS,0,4002,323E7Q_r0aRTex.jpg,,2022/1/19,2022/1/20,118
118240012,2021 Personal,6,Microsoft,0,26000,2021_Personal_r22PGaf.jpg,,2022/1/19,2022/1/20,118
119240008,323E7Q,2,PHILIPS,1,4003,323E7Q_nnZfbEz.jpg,,2022/1/19,2022/1/20,119
119240010,256GB,5,-,0,3000,ssd_kari256gb_otFNwVm.jpg,,2022/1/19,2022/1/20,119
119240012,2021 Personal,6,Microsoft,3,26000,2021_Personal_xn9YC2c.jpg,,2022/1/19,2022/1/20,119
119240006,Optiplex 3040 Micro,1,DELL,2,12579,Optiplex_3040_Micro_AMn8irk.jpg,,2022/1/19,2022/1/20,119
118240009,8GB,3,-,3,3000,8G_繝｡繝｢繝ｪ_J2ZK7TS.png,,2022/1/19,2022/1/20,118
118240011,2010 Personal,6,Microsoft,2,8000,2010_Personal_zfGLefw.png,,2022/1/19,2022/1/20,118
125240008,323E7Q,2,PHILIPS,1,4004,323E7Q_LqGEsis.jpg,,2022/1/19,2022/1/20,125
125240010,256GB,5,-,0,3000,ssd_kari256gb_PGZq90s.jpg,,2022/1/19,2022/1/20,125
126240002,Let'sNote SZ5,0,Panasonic,4,14500,LetsNote_SZ5_Ylq82Od.jpg,,2022/1/19,2022/1/20,126
119240009,8GB,3,-,2,3000,8G_繝｡繝｢繝ｪ_fpjk0W3.png,,2022/1/19,2022/1/20,119
119240011,2010 Personal,6,Microsoft,2,8000,2010_Personal_1iWo5W4.png,,2022/1/19,2022/1/20,119
125240003,LIFEBOOK U938,0,FUJITSU,1,35801,LIFEBOOK_U938_Oou5Dqx.png,,2022/1/19,2022/1/20,125
125240009,8GB,3,-,2,3000,8G_繝｡繝｢繝ｪ_zhIJa9h.png,,2022/1/19,2022/1/20,125
125240012,2021 Home & Business,6,Microsoft,3,28000,2021_Home__Business.jpg,,2022/1/19,2022/1/20,125
