store_id,place_category,store_name,address,tel,invalid_flg,created_at,updated_at
100,1,キッサキシティ,201番道路,000-0000-0000,t,2021/1/19,2021/1/19
101,1,クロガネシティ,202番道路,000-0000-0001,t,2021/1/19,2021/1/19
102,1,コトブキシティ,203番道路,000-0000-0002,t,2021/1/19,2021/1/19
103,0,ズイタウン,204番道路,000-0000-0003,t,2021/1/19,2021/1/19
104,0,ソノオタウン,205番道路,000-0000-0004,t,2021/1/19,2021/1/19
105,1,トバリシティ,206番道路,000-0000-0005,t,2021/1/19,2021/1/19
106,1,ナギサシティ,207番道路,000-0000-0006,t,2021/1/19,2021/1/19
107,1,ノモセシティ,208番道路,000-0000-0007,t,2021/1/19,2021/1/19
108,1,ハクタイシティ,209番道路,000-0000-0008,t,2021/1/19,2021/1/19
109,0,フタバタウン,210番道路,000-0000-0009,t,2021/1/19,2021/1/19
110,0,マサゴタウン,211番道路,000-0000-0010,t,2021/1/19,2021/1/19
111,1,ミオシティ,212番道路,000-0000-0011,t,2021/1/19,2021/1/19
112,1,ヨスガシティ,213番道路,000-0000-0012,t,2021/1/19,2021/1/19
