store_id,place_category,store_name,address,tel,invalid_flg,created_at,updated_at
010,1,町田店,東京都町田市森野1-9-21,042-728-9941,1,2021/11/10 12:14,2021/11/10 12:14
011,1,池袋店,東京都豊島区東池袋1-20-17,03-5952-0080,1,2021/11/10 12:14,2021/11/10 12:14
012,1,東京水道橋店,東京都千代田区西神田2-4-11,03-3237-8711,1,2021/11/10 12:14,2021/11/10 12:14
013,0,津田沼店,千葉県習志野市津田沼1-1-1,047-472-7001,1,2021/11/10 12:14,2021/11/10 12:14
014,1,カンナギタウン,210番道路,03-4330-7575,1,2021/11/19 00:00,2021/11/19 12:00
015,1,キッサキシティ,217番道路,03-4330-7575,1,2021/11/19 00:00,2021/11/19 12:00
016,1,クロガネシティ,206番道路,03-4330-7575,1,2021/11/19 00:00,2021/11/19 12:00
017,1,コトブキシティ,204番道路,03-4330-7575,1,2021/11/19 00:00,2021/11/19 12:00
018,1,ズイタウン,211番道路,03-4330-7575,1,2021/11/19 00:00,2021/11/19 12:00
019,1,ソノオタウン,205番道路,03-4330-7575,1,2021/11/19 00:00,2021/11/19 12:00
020,1,トバリシティ,214番道路,03-4330-7575,1,2021/11/19 00:00,2021/11/19 12:00
021,1,ナギサシティ,223番水道,03-4330-7575,1,2021/11/19 00:00,2021/11/19 12:00
022,1,ノモセシティ,213番道路,03-4330-7575,1,2021/11/19 00:00,2021/11/19 12:00
023,1,ハクタイシティ,211番道路,03-4330-7575,1,2021/11/19 00:00,2021/11/19 12:00
024,1,フタバタウン,201番道路,03-4330-7575,1,2021/11/19 00:00,2021/11/19 12:00
025,1,マサゴタウン,202番道路,03-4330-7575,1,2021/11/19 00:00,2021/11/19 12:00
026,1,ミオシティ,218番道路,03-4330-7575,1,2021/11/19 00:00,2021/11/19 12:00
027,1,ヨスガシティ,209番道路,03-4330-7575,1,2021/11/19 00:00,2021/11/19 12:00
