cpu_bench_id,cpu_name,passmark,core,thread,tdp,rated_clock,max_clock,list_price,cost_performance,created_at,updated_at
1,Ryzen 9 5950X,46132,16,32,105,3.4,4.9,106500,0.43,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
2,Ryzen 9 5900X,39641,12,24,105,3.7,4.8,71500,0.55,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
3,Ryzen 9 3950X,39314,16,32,105,3.5,4.7,73000,0.54,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
4,Core i9 12900K,38462,16,24,125,3.2,5.1,79800,0.48,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
5,Core i9 12900KF,38462,16,24,125,3.2,5.1,76800,0.5,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
6,Ryzen 9 5900,35253,12,24,65,3,4.7,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
7,Ryzen 9 3900XT,32898,12,24,105,3.8,4.7,60000,0.55,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
8,Ryzen 9 3900X,32858,12,24,105,3.8,4.6,58000,0.57,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
9,Ryzen 9 3900,30939,12,24,65,3.1,4.3,59000,0.52,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
10,Core i7 12700K,29989,12,20,125,3.6,4.9,58000,0.52,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
11,Core i7 12700KF,29989,12,20,125,3.6,4.9,53000,0.57,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
12,Ryzen 7 5800X,28379,8,16,105,3.8,4.7,59000,0.48,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
13,Ryzen 7 5800,25958,8,16,65,3.4,4.6,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
14,Core i9 11900KF,25611,8,16,125,3.5,5.3,65000,0.39,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
15,Core i9 11900K,25575,8,16,125,3.5,5.3,72000,0.36,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
16,Ryzen 7 PRO 5750G,25562,8,16,65,3.8,4.6,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
17,Core i7 11700K,25194,8,16,125,3.6,5,49000,0.51,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
18,Ryzen 7 5700G,24754,8,16,65,3.8,4.6,51800,0.48,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
19,Core i5 12600K,24612,10,16,125,3.7,4.9,39000,0.63,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
20,Core i5 12600KF,24612,10,16,125,3.7,4.9,37000,0.67,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
21,Core i7 11700KF,24458,8,16,125,3.6,5,46000,0.53,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
22,Ryzen 7 3800XT,24294,8,16,105,3.9,4.7,52000,0.47,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
23,Core i9 10900K,24046,10,20,125,3.7,5.3,55000,0.44,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
24,Core i9 11900F,23815,8,16,65,2.5,5.2,50000,0.48,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
25,Core i9 10900KF,23704,10,20,125,3.7,5.3,51000,0.46,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
26,Core i9 11900,23533,8,16,65,2.5,5.2,53000,0.44,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
27,Ryzen 7 3800X,23340,8,16,105,3.9,4.5,45000,0.52,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
28,Core i9 10850K,22992,10,20,125,3.6,5.1,46000,0.5,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
29,Ryzen 7 3700X,22711,8,16,65,3.6,4.4,40000,0.57,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
30,Ryzen 5 5600X,22596,6,12,65,3.7,4.6,39500,0.57,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
31,Ryzen 7 4700G,21667,8,16,65,3.6,4.4,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
32,Core i7 11700F,21485,8,16,65,2.5,4.9,39000,0.55,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
33,Core i7 11700,21110,8,16,65,2.5,4.9,41000,0.51,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
